play_id,committing,disadvantaged,decision,committing_position,disadvantaged_position
10495,Gorgui Dieng,Kemba Walker,CNC,C,G
10497,Gorgui Dieng,Michael Kidd-Gilchrist,CNC,C,F
10499,Nicolas Batum,Zach LaVine,CNC,G-F,G-F
10501,Zach LaVine,Nicolas Batum,CC,G-F,G-F
10505,Cody Zeller,Ricky Rubio,INC,F-C,G
10506,Jordan Clarkson,Andrew Harrison,CNC,G,G
10508,Jordan Clarkson,Andrew Harrison,INC,G,G
10510,Jordan Clarkson,Andrew Harrison,CNC,G,G
10511,Andrew Harrison,Jordan Clarkson,CC,G,G
10512,Tony Allen,Lou Williams,CC,G-F,G
10513,Jordan Clarkson,Tony Allen,CNC,G,G-F
10514,Tony Allen,Brandon Ingram,INC,G-F,F
10515,Luol Deng,JaMychal Green,CC,F,F-C
10516,Lou Williams,Marc Gasol,CNC,G,C
10517,Marc Gasol,Julius Randle,CC,C,F-C
10518,Marc Gasol,Luol Deng,INC,C,F
10521,Dario Saric,Isaiah Thomas,CNC,F-C,G
10522,Jae Crowder,Dario Saric,CC,F,F-C
10523,Jahlil Okafor,Isaiah Thomas,CNC,C-F,G
10524,Avery Bradley,Dario Saric,INC,G,F-C
10525,Dario Saric,Isaiah Thomas,CNC,F-C,G
10526,Jae Crowder,Dario Saric,CNC,F,F-C
10528,Al Horford,Hollis Thompson,INC,C-F,G-F
10529,Ersan Ilyasova,Avery Bradley,CC,F,G
10532,Hollis Thompson,Marcus Smart,CC,G-F,G
10533,Nik Stauskas,Al Horford,CC,G,C-F
10536,Goran Dragic,CJ McCollum,CNC,G,G
10537,Mason Plumlee,Hassan Whiteside,CNC,F-C,C
10538,CJ McCollum,Goran Dragic,CNC,G,G
10539,Hassan Whiteside,Mason Plumlee,CNC,C,F-C
10540,CJ McCollum,Goran Dragic,CNC,G,G
10541,Mason Plumlee,Hassan Whiteside,INC,F-C,C
10542,Wayne Ellington,Damian Lillard,CC,G,G
10543,Hassan Whiteside,Mason Plumlee,CC,C,F-C
10544,CJ McCollum,Wayne Ellington,CNC,G,G
10546,Tyler Johnson,Allen Crabbe,CC,G,G-F
10547,Damian Lillard,Tyler Johnson,CNC,G,G
10548,Joakim Noah,Rudy Gay,CNC,F-C,F-G
10549,Kristaps Porzingis,Rudy Gay,CNC,F-C,F-G
10550,Willie Cauley-Stein,Kristaps Porzingis,CNC,C,F-C
10551,Garrett Temple,Kyle O'Quinn,CNC,G-F,C-F
10552,Garrett Temple,Derrick Rose,CNC,G-F,G
10553,Willie Cauley-Stein,Kyle O'Quinn,CNC,C,C-F
10555,Brandon Jennings,Darren Collison,CNC,G,G
10556,Kyle O'Quinn,DeMarcus Cousins,CNC,C-F,C
10557,Kristaps Porzingis,Rudy Gay,CNC,F-C,F-G
10558,Rudy Gay,Carmelo Anthony,CC,F-G,F
10559,Rudy Gay,Brandon Jennings,CC,F-G,G
10560,Marcin Gortat,Joe Harris,CNC,C,G-F
10562,Otto Porter Jr.,Brook Lopez,CC,F,C
10564,Sean Kilpatrick,Bradley Beal,CNC,G,G
10565,Markieff Morris,Sean Kilpatrick,CNC,F,G
10566,Bradley Beal,Joe Harris,CNC,G,G-F
10567,Bojan Bogdanovic,Bradley Beal,CC,F,G
10568,Rondae Hollis-Jefferson,John Wall,CC,F,G
10571,Montrezl Harrell,Isaiah Thomas,CNC,F-C,G
10572,James Harden,Marcus Smart,CNC,G,G
